

MI_SI_WLAN_AP_ID,MI_SI_WLAN_AP_Name,MI_SI_Building_Number,MI_SI_WLAN_AP_Hname,MI_SI_WLAN_AP_IP,MI_SI_WLAN_APGroup_Name,MI_SI_WLAN_AP_MAC,MI_SI_WLAN_AP_SN,MI_SI_WLAN_AP_Model,MI_SI_WLAN_AP_Scale,MI_SI_Cabinet_Name,MI_SI_Switch_Name,MI_SI_Switch_IP,MI_SI_SWPort_Interface,MI_SI_Cabling_Number,MI_SI_WLAN_AP_Location,MI_SI_WLAN_AP_Memo02,MI_SI_WLAN_AP_Status,MI_SI_WLAN_WLC_HName,MI_SI_WLAN_AP_IfEnabled,MI_SI_WLAN_AP_Date_Install,MI_SI_WLAN_AP_Memo,MI_SI_WLAN_AP_Height,MI_SI_WLAN_AP_Floor,MI_SI_WLAN_AP_Maintenance
133,560-AP06,B560,SY2560-1TC-FACC1242-F,10.70.30.33,FYT_TBL2_ASCE,74:26:ac:1a:bf:ab,FGL1810S0B2,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,560-TC-01,SY2560-1TCAC26PS48,10.70.28.190,Fa0/1,1J2j,北区11号机台,WLANSY2RFYT01WLANSY2RCBR01WLANSY2ASCE01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
134,560-AP09,B560,SY2560-2TC-FACC1242-C,10.70.30.36,FYT_TBL2_ASCE,18:e7:28:51:2c:b7,FGL1810S0B1,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,560-TC-02,SY2560-4TCAC26PS48,10.70.28.168,Fa0/1,1H6j,北区10号机台,WLANSY2RFYT01WLANSY2RCBR01WLANSY2ASCE01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
135,560-AP10,B560,SY2560-2TC-FACC1242-D,10.70.30.37,FYT_TBL2_ASCE,b0:fa:eb:b0:c5:08,FGL1711U056,AIR-LAP01242AG-C-K9,Scale:4;Power:30mW,560-TC-02,SY2560-2TCAC26PS48,10.70.28.164,Fa0/1,1C2j,南区5号机台,WLANSY2RFYT01WLANSY2RCBR01WLANSY2ASCE01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,7,1,
136,640-AP04,B640,SY2640-1TC-FACC1242-D,10.70.30.78,ASCE,b0:fa:eb:b0:c6:2a,FGL1711U05X,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,640-TC-01,SY2640-1TCAC26PS24,10.70.28.191,Fa0/2,1H8a,东区F线;HOL,WLANSY2ASCE01,Mounted,SY2100-1MCCCCT5508,1,,2013;FactoryLAN,7,1,
137,640-AP08,B640,SY2640-3TC-FACC1242-A,10.70.30.82,ASCE,b0:fa:eb:b0:bd:10,FGL1711U06C,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,640-TC-01,SY2640-1TCAC26PS24,10.70.28.191,Fa0/1,1H3c,西区南04,WLANSY2ASCE01,Mounted,SY2100-1MCCCCT5508,1,,2013;FactoryLAN,7,1,
138,450-AP13,B450,SY2450-1TC-FACC1242-M,10.70.30.55,FYT_TBL2_ASCE,18:e7:28:51:2c:79,FGL1810S0B4,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,450-IC-01-S1,SY2450-1IC01BC26PS48,10.70.28.113,Fa0/46, 3C3b,ok,WLANSY2RFYT01WLANSY2RCBR01WLANSY2ASCE01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
139,522-AP01,B522,SY2522-2TC-FACC1242-A,10.70.30.11,FYT_ASCE,b0:fa:eb:b0:c3:fa,FGL1711U050,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,522-TC-02,SY2522-2TCAC26PS48,10.70.28.199,Fa0/2,1G11c,北区，东北角,WLANSY2RFYT01WLANSY2ASCE01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
140,522-AP02,B522,SY2522-2TC-FACC1242-B,10.70.30.12,FYT_ASCE,b0:fa:eb:b0:c3:de,FGL1903X75Y,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,602-IC-01-S1,SY2602-1ICAC26PS48,10.70.28.188,Fa0/11,1C1i,南区，CBL,WLANSY2RFYT01WLANSY2ASCE01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
141,522-AP03,B522,SY2522-3TC-FACC1242-A,10.70.30.13,FYT_ASCE,b0:fa:eb:b0:c3:c8,FGL1711U052,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,522-TC-03,SY2522-3TCAC26PS48,10.70.28.200,Fa0/1,1D5a,南区，CAL,WLANSY2RFYT01WLANSY2ASCE01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
142,522-AP04,B522,SY2522-3TC-FACC1242-B,10.70.30.14,FYT_ASCE,b0:fa:eb:b0:be:d4,FGL1711U066,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,522-TC-03,SY2522-3TCAC26PS48,10.70.28.200,Fa0/2,1C10f,南区，中部偏南,WLANSY2RFYT01WLANSY2ASCE01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
143,522-AP05,B522,SY2522-3TC-FACC1242-C,10.70.30.15,FYT_ASCE,b0:fa:eb:b0:be:6e,FGL1711U069,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,522-TC-02,SY2522-2TCAC26PS48,10.70.28.199,Fa0/1,1F14a,北区，东南角,WLANSY2RFYT01WLANSY2ASCE01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
144,522-AP06,B522,SY2522-3TC-FACC1242-D,10.70.30.16,FYT_ASCE,b0:fa:eb:b0:c6:20,FGL1711U04D,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,522-TC-03,SY2522-3TCAC26PS48,10.70.28.200,Fa0/3,1E11g,南区，Nar3,WLANSY2RFYT01WLANSY2ASCE01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
145,522-AP07,B522,SY2522-1TC-FACC1242-A,10.70.30.59,FYT_ASCE,b0:fa:eb:b0:c4:ac,FGL1711U06K,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,522-TC-03,SY2522-3TCAC26PS48,10.70.28.200,Fa0/4,1D14a,南区，东南,WLANSY2RFYT01WLANSY2ASCE01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
146,522-AP08,B522,SY2522-1TC-FACC1242-B,10.70.30.60,FYT_ASCE,b0:fa:eb:b0:c5:1a,FGL1711U06L,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,601-TC-01,SY2601-1TCBC26PS48,10.70.28.197,Fa0/1,1E2a,钢圈，南,WLANSY2RFYT01WLANSY2ASCE01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
147,522-AP09,B522,SY2522-1TC-FACC1242-C,10.70.30.61,FYT_ASCE,b0:fa:eb:b0:c4:f2,FGL1711U04L,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,601-TC-01,SY2601-1TCBC26PS48,10.70.28.197,Fa0/2,1G3q,钢圈，北,WLANSY2RFYT01WLANSY2ASCE01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
148,522-AP11,B522,SY2522-2TC-FACC1242-C,10.70.30.24,FYT_ASCE,b0:fa:eb:b0:c4:56,FGL1711U06Z,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,522-TC-02,SY2522-2TCAC26PS48,10.70.28.199,Fa0/27,1G11d,北区，西北角,WLANSY2RFYT01 / WLANSY2ASCE01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
149,522-AP12,B522,SY2522-2TC-FACC1242-D,10.70.30.25,FYT_ASCE,b0:fa:eb:b0:c4:ae,FGL1711U074,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,522-TC-02,SY2522-2TCAC26PS48,10.70.28.199,Fa0/28,1G8j,北区冷库外,WLANSY2RFYT01WLANSY2ASCE01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
150,522-AP13,B522,SY2522-3TC-FACC1242-E,10.70.30.26,FYT_ASCE,b0:fa:eb:b0:c5:88,FGL1711U05F,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,522-TC-03,SY2522-3TCAC26PS48,10.70.28.200,Fa0/43,1D8g,南区，中部偏西,WLANSY2RFYT01WLANSY2ASCE01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
151,522-AP14,B522,SY2522-3TC-FACC1242-F,10.70.30.27,FYT_ASCE,b0:fa:eb:b0:c3:cc,FGL1711U05G,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,522-TC-03,SY2522-3TCAC26PS48,10.70.28.200,Fa0/44,1E13a,南区，东北,WLANSY2RFYT01WLANSY2ASCE01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
152,524-AP01,B524,SY2524-1TC-FACC1242-A,10.70.30.17,FYT_ASCE,b0:fa:eb:b0:c4:fa,FGL1711U04F,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,524-TC-01,SY2524-1TCAC26PS48,10.70.28.205,Fa0/1,1F2a,西北角,WLANSY2RFYT01WLANSY2ASCE01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
153,524-AP02,B524,SY2524-1TC-FACC1242-B,10.70.30.18,FYT_ASCE,b0:fa:eb:b0:c5:9e,FGL1711U04G,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,524-TC-01,SY2524-1TCAC26PS48,10.70.28.205,Fa0/4,1E7g,中部北,WLANSY2RFYT01WLANSY2ASCE01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
154,524-AP03,B524,SY2524-1TC-FACC1242-C,10.70.30.19,FYT_ASCE,b0:fa:eb:b0:c4:dc,FGL1711U04H,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,524-TC-01,SY2524-1TCAC26PS48,10.70.28.205,Fa0/6,1F9a,东北角,WLANSY2RFYT01WLANSY2ASCE01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
155,524-AP04,B524,SY2524-1TC-FACC1242-D,10.70.30.20,FYT_ASCE,b0:fa:eb:b0:c7:1e,FGL1711U04T,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,524-TC-02,SY2524-2TCAC26PS24,10.70.28.206,Fa0/1,1D5c,中部西,WLANSY2RFYT01WLANSY2ASCE01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
156,524-AP05,B524,SY2524-1TC-FACC1242-E,10.70.30.21,FYT_ASCE,b0:fa:eb:b0:c5:86,FGL1711U06N,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,524-TC-02,SY2524-2TCAC26PS24,10.70.28.206,Fa0/3,1D6c,中部东,WLANSY2RFYT01WLANSY2ASCE01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
157,524-AP06,B524,SY2524-1TC-FACC1242-F,10.70.30.22,FYT_ASCE,b0:fa:eb:b0:c4:b8,FGL1711U06W,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,524-TC-02,SY2524-2TCAC26PS24,10.70.28.206,Fa0/4,1B6a,中部南,WLANSY2RFYT01WLANSY2ASCE01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
158,524-AP07,B524,SY2524-2TC-FACC1242-A,10.70.30.23,FYT_ASCE,b0:fa:eb:b0:b0:66,FGL1711U06Y,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,524-TC-02,SY2524-2TCAC26PS24,10.70.28.206,Fa0/5,1C9a,东南角,WLANSY2RFYT01WLANSY2ASCE01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
159,560-AP01,B560,SY2560-1TC-FACC1242-A,10.70.30.28,FYT_TBL2_ASCE,b0:fa:eb:b0:c4:ee,FGL1711U05L,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,560-TC-01,SY2560-1TCAC26PS48,10.70.28.190,Fa0/6,1L4c,北区北墙西侧,WLANSY2RFYT01WLANSY2RCBR01WLANSY2ASCE01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,7,1,
160,560-AP02,B560,SY2560-1TC-FACC1242-B,10.70.30.29,FYT_TBL2_ASCE,b0:fa:eb:b0:c3:b2,FGL1711U05M,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,560-TC-04,SY2560-4TCBC26PS48,10.70.28.169,Fa0/1,1L7o,北区北墙东侧,WLANSY2RFYT01WLANSY2RCBR01WLANSY2ASCE01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,7,1,
161,560-AP03,B560,SY2560-1TC-FACC1242-C,10.70.30.30,FYT_TBL2_ASCE,b0:fa:eb:b0:c5:c2,FGL1711U05P,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,560-TC-01,SY2560-1TCAC26PS48,10.70.28.190,Fa0/5,1K4O,北区,WLANSY2RFYT01WLANSY2RCBR01WLANSY2ASCE01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,7,1,
162,560-AP04,B560,SY2560-1TC-FACC1242-D,10.70.30.31,FYT_TBL2_ASCE,b0:fa:eb:b0:c6:48,FGL1711U05Y,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,560-TC-01,SY2560-1TCAC26PS48,10.70.28.190,Fa0/3,1K2j,北区13号机台,WLANSY2RFYT01WLANSY2RCBR01WLANSY2ASCE01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,7,1,
163,560-AP05,B560,SY2560-1TC-FACC1242-E,10.70.30.32,FYT_TBL2_ASCE,b0:fa:eb:b0:c5:76,FGL1711U06M,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,560-TC-04,SY2560-4TCAC26PS48,10.70.28.168,Fa0/5,1K6j,北区14号机台,WLANSY2RFYT01WLANSY2RCBR01WLANSY2ASCE01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,7,1,
164,560-AP07,B560,SY2560-2TC-FACC1242-A,10.70.30.34,FYT_TBL2_ASCE,b0:fa:eb:b0:c6:6a,FGL1711U06U,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,560-TC-04,SY2560-4TCAC26PS48,10.70.28.168,Fa0/3,1J6j,北区12号机台,WLANSY2RFYT01WLANSY2RCBR01WLANSY2ASCE01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,7,1,
165,560-AP08,B560,SY2560-2TC-FACC1242-B,10.70.30.35,FYT_TBL2_ASCE,b0:fa:eb:b0:c5:1e,FGL1711U075,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,560-TC-02,SY2560-2TCBC26PS48,10.70.28.165,Fa0/3,1H2j,北区09号机台,WLANSY2RFYT01WLANSY2RCBR01WLANSY2ASCE01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,7,1,
166,560-AP11,B560,SY2560-2TC-FACC1242-E,10.70.30.38,FYT_TBL2_ASCE,b0:fa:eb:b0:c5:ae,FGL1711U05A,AIR-LAP01242AG-C-K9,Scale:4;Power:30mW,560-TC-02,SY2560-2TCBC26PS48,10.70.28.165,Fa0/2,1D6j,南区6号机台,WLANSY2RFYT01WLANSY2RCBR01WLANSY2ASCE01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,7,1,
167,560-AP12,B560,SY2560-2TC-FACC1242-F,10.70.30.39,FYT_TBL2_ASCE,b0:fa:eb:b0:c4:28,FGL1711U05B,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,560-TC-02,SY2560-2TCAC26PS48,10.70.28.164,Fa0/2,1C2k,南区3号机台,WLANSY2RFYT01WLANSY2RCBR01WLANSY2ASCE01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,7,1,
168,560-AP13,B560,SY2560-2TC-FACC1242-G,10.70.30.40,FYT_TBL2_ASCE,b0:fa:eb:b0:c5:5a,FGL1711U06V,AIR-LAP01242AG-C-K9,Scale:4;Power:30mW,603-IC-01-S1,SY2603-1ICAC26PS48,10.70.28.171,Fa0/1,1C6j,南区4号机台,WLANSY2RFYT01WLANSY2RCBR01WLANSY2ASCE01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,7,1,
169,560-AP14,B560,SY2560-2TC-FACC1242-H,10.70.30.41,FYT_TBL2_ASCE,b0:fa:eb:b0:c4:a6,FGL1711U06P,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,560-TC-03,SY2560-3TCAC26PS48,10.70.28.167,Fa0/1,1B2j,南区1号机台,WLANSY2RFYT01 / WLANSY2RCBR01 / WLANSY2ASCE01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,7,1,
170,560-AP15,B560,SY2560-2TC-FACC1242-I,10.70.30.42,FYT_TBL2_ASCE,b0:fa:eb:b0:bf:f2,FGL1711U06Q,AIR-LAP01242AG-C-K9,Scale:4;Power:30mW,603-IC-01-S1,SY2603-1ICAC26PS24,10.70.28.170,Fa0/3,1B6j,南区2号机台,WLANSY2RFYT01WLANSY2RCBR01WLANSY2ASCE01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,7,1,
171,560-AP16,B560,SY2560-2TC-FACC1242-J,10.70.30.43,FYT_TBL2_ASCE,b0:fa:eb:b0:c5:ba,FGL1711U06S,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,560-TC-02,SY2560-3TCAC26PS24,10.70.28.166,Fa0/1,1A2j,南区南墙西侧,WLANSY2RFYT01WLANSY2RCBR01WLANSY2ASCE01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,7,1,
172,560-AP17,B560,SY2560-2TC-FACC1242-K,10.70.30.44,FYT_TBL2_ASCE,b0:fa:eb:b0:ae:2e,FGL1711U06T,AIR-LAP01242AG-C-K9,Scale:4;Power:30mW,603-IC-01-S1,SY2603-1ICAC26PS24,10.70.28.170,Fa0/2,1A7j,南区南墙东侧,WLANSY2RFYT01WLANSY2RCBR01WLANSY2ASCE01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,7,1,
173,640-AP09,B640,SY2640-1TC-FACC2602-C,10.70.30.217,FYT_ASCE,18:e7:28:51:2c:d6,FGL1810S0B5,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,640-TC-01,SY2640-1TCAC26PS24,10.70.28.191,Fa0/18,1G9i,东区最北侧,WLANSY2RFYT01WLANSY2RCBR01WLANSY2ASCE01,Mounted（）,SY2100-1MCCCCT5508,1,,2013;FactoryLAN,7,1,
174,640-AP01,B640,SY2640-1TC-FACC1242-A,10.70.30.75,ASCE,b0:fa:eb:b0:c5:26,FGL1711U054,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,640-TC-05,SY2640-5TCAC26PS48,10.70.28.195,Fa0/4,1A11a,地下室04;代替640-BMA4,WLANSY2ASCE01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
175,640-AP02,B640,SY2640-1TC-FACC1242-B,10.70.30.76,ASCE,b0:fa:eb:b0:c5:0e,FGL1711U05H,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,640-TC-03,SY2640-3TCAC26PS24,10.70.28.193,Fa0/2,1E7g,地下室05;代替640-BMA5,WLANSY2ASCE01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
176,640-AP03,B640,SY2640-1TC-FACC1242-C,10.70.30.77,ASCE,b0:fa:eb:b0:c5:ce,FGL1711U05W,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,640-TC-0T,SY2640-5TCAC26PS48,10.70.28.195,Fa0/1,1C12f,C线:EOL,WLANSY2ASCE01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
177,640-AP05,B640,SY2640-1TC-FACC1242-E,10.70.30.79,ASCE,b0:fa:eb:b0:c5:f2,FGL1711U05Z,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,608-IC-01-S1,SY2608-1ICAC26PS24,10.70.28.177,Fa0/3,1A3c,西区南01,WLANSY2ASCE01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
178,640-AP06,B640,SY2640-1TC-FACC1242-F,10.70.30.80,ASCE,b0:fa:eb:b0:c6:4a,FGL1711U060,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,608-IC-01-S1,SY2608-1ICAC26PS24,10.70.28.177,Fa0/2,1C1k,西区南02,WLANSY2ASCE01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
179,640-AP07,B640,SY2640-1TC-FACC1242-G,10.70.30.81,ASCE,b0:fa:eb:b0:be:48,FGL1711U06B,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,640-TC-03,SY2640-3TCAC26PS24,10.70.28.193,Fa0/1,1E3c,西区南03,WLANSY2ASCE01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
180,640-AP10,B640,SY2640-3TC-FACC1242-C,10.70.30.84,ASCE,18:e7:28:51:2c:e1,FGL1903X77D,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,640-TC-01,SY2640-1TCAC26PS24,10.70.28.191,Fa0/17,1G12f,东区F线:EOL,WLANSY2ASCE01,Mounted（）,SY2100-1MCCCCT5508,1,,2013;FactoryLAN,7,1,
181,692-AP01,B692,SY2692-1IC-FACC1242-A,10.70.30.70,TBL2_ASCE,b0:fa:eb:b0:c5:f4,FGL1711U065,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,605-IC-01-S1,SY2605-1ICAC26PS48,10.70.28.161,Fa0/1,1K1k,ok,WLANSY2RCBR01WLANSY2ASCE01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
182,692-AP02,B692,SY2692-1IC-FACC1242-B,10.70.30.71,TBL2_ASCE,b0:fa:eb:b0:c3:b6,FGL1711U04U,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,692-TC-02,SY2692-2TCBC26PS48,10.70.28.184,Fa0/1,1K4f,ok,WLANSY2RCBR01WLANSY2ASCE01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
183,692-AP03,B692,SY2692-3TC-FACC1242-A,10.70.30.91,TBL2_ASCE,b0:fa:eb:b0:c5:fe,FGL1711U061,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,692-TC-04,SY2692-4TCAC26PS24,10.70.28.186,Fa0/1,1M7a,ok,WLANSY2RCBR01WLANSY2ASCE01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
184,692-AP04,B692,SY2692-3TC-FACC1242-B,10.70.30.92,TBL2_ASCE,b0:fa:eb:b0:c3:fc,FGL1711U063,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,692-TC-04,SY2692-4TCAC26PS24,10.70.28.186,Fa0/2,1M9a,ok,WLANSY2RCBR01WLANSY2ASCE01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
185,692-AP05,B692,SY2692-4TC-FACC1242-A,10.70.30.93,TBL2_ASCE,b0:fa:eb:b0:c7:08,FGL1711U064,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,605-IC-01-S1,SY2605-1ICAC26PS48,10.70.28.161,Fa0/2,1E1g ,ok,WLANSY2RCBR01WLANSY2ASCE01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
186,692-AP06,B692,SY2692-4TC-FACC1242-B,10.70.30.94,TBL2_ASCE,b0:fa:eb:b0:bc:e6,FGL1711U06F,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,692-TC-01,SY2692-1TCBC26PS48,10.70.28.181,Fa0/1,1E4b,ok,WLANSY2RCBR01WLANSY2ASCE01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
187,692-AP07,B692,SY2692-1TC-FACC1242-A,10.70.30.89,TBL2_ASCE,b0:fa:eb:b0:c5:90,FGL1711U05E,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,692-TC-03,SY2692-3TCAC26PS24,10.70.28.185,Fa0/1,1F7e,ok,WLANSY2RCBR01WLANSY2ASCE01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
188,692-AP08,B692,SY2692-2TC-FACC1242-A,10.70.30.90,TBL2_ASCE,b0:fa:eb:b0:c5:06,FGL1711U05K,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,692-TC-03,SY2692-3TCAC26PS24,10.70.28.185,Fa0/2,1E10a,ok,WLANSY2RCBR01WLANSY2ASCE01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
189,692-AP09,B692,SY2692-1IC-FACC1242-C,10.70.30.45,FYT_TBL2_ASCE,b0:fa:eb:b0:c5:be,FGL1711U06X,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,692-TC-04,SY2692-4TCAC26PS24,10.70.28.185,Fa0/19,1G9a,ok,WLANSY2RFYT01 / WLANSY2RCBR01/ WLANSY2ASCE01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
190,692-AP10,B692,SY2692-1TC-FACC1242-B,10.70.30.46,FYT_TBL2_ASCE,b0:fa:eb:b0:c3:be,FGL1711U04J,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,692-TC-03,SY2692-3TCAC26PS24,10.70.28.185,Fa0/21,1A9a,ok,WLANSY2RFYT01WLANSY2RCBR01WLANSY2ASCE01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
191,692-AP11,B692,SY2692-2TC-FACC1242-B,10.70.30.47,FYT_TBL2_ASCE,b0:fa:eb:b0:c4:aa,FGL1711U04M,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,692-TC-03,SY2692-3TCAC26PS24,10.70.28.185,Fa0/22,1C7g,ok,WLANSY2RFYT01WLANSY2RCBR01WLANSY2ASCE01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
192,692-AP12,B692,SY2692-2TC-FACC1242-C,10.70.30.48,FYT_TBL2_ASCE,b0:fa:eb:b0:c4:f8,FGL1711U04P,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,692-TC-02,SY2692-2TCBC26PS48,10.70.28.184,Fa0/46,1G4g,ok,WLANSY2RFYT01WLANSY2RCBR01WLANSY2ASCE01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
193,692-AP13,B692,SY2692-2TC-FACC1242-D,10.70.30.49,FYT_TBL2_ASCE,b0:fa:eb:b0:c3:fe,FGL1711U04Q,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,692-TC-02,SY2692-2TCBC26PS48,10.70.28.184,Fa0/47,1D4b,ok,WLANSY2RFYT01WLANSY2RCBR01WLANSY2ASCE01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
194,692-AP14,B692,SY2692-4TC-FACC1242-C,10.70.30.50,FYT_TBL2_ASCE,b0:fa:eb:b0:c6:88,FGL1711U04R,AIR-LAP01242AG-C-K9,Scale:6;Power:5mW,692-TC-02,SY2692-2TCBC26PS48,10.70.28.184,Fa0/48,1H3h,ok,WLANSY2RFYT01WLANSY2RCBR01WLANSY2ASCE01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
